"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"06/01/2024 19:00 - 06/01/2024 19:30","Ireland (IE)","4802.46","5155.00"
"06/01/2024 19:30 - 06/01/2024 20:00","Ireland (IE)","4731.29","5113.00"
"06/01/2024 20:00 - 06/01/2024 20:30","Ireland (IE)","4631.56","5011.00"
"06/01/2024 20:30 - 06/01/2024 21:00","Ireland (IE)","4538.23","4909.00"
"06/01/2024 21:00 - 06/01/2024 21:30","Ireland (IE)","4439.21","4768.00"
"06/01/2024 21:30 - 06/01/2024 22:00","Ireland (IE)","4351.61","4627.00"
"06/01/2024 22:00 - 06/01/2024 22:30","Ireland (IE)","4241.08","4500.00"
"06/01/2024 22:30 - 06/01/2024 23:00","Ireland (IE)","4152.01","4373.00"
"06/01/2024 23:00 - 06/01/2024 23:30","Ireland (IE)","4007.90","4224.00"
"06/01/2024 23:30 - 07/01/2024 00:00","Ireland (IE)","3896.24","4075.00"
"07/01/2024 00:00 - 07/01/2024 00:30","Ireland (IE)","3820.73","4075.00"
"07/01/2024 00:30 - 07/01/2024 01:00","Ireland (IE)","3827.91","4076.00"
"07/01/2024 01:00 - 07/01/2024 01:30","Ireland (IE)","3728.47","3959.00"
"07/01/2024 01:30 - 07/01/2024 02:00","Ireland (IE)","3633.90","3842.00"
"07/01/2024 02:00 - 07/01/2024 02:30","Ireland (IE)","3531.50","3788.00"
"07/01/2024 02:30 - 07/01/2024 03:00","Ireland (IE)","3449.84","3734.00"
"07/01/2024 03:00 - 07/01/2024 03:30","Ireland (IE)","3381.34","3706.00"
"07/01/2024 03:30 - 07/01/2024 04:00","Ireland (IE)","3348.66","3677.00"
"07/01/2024 04:00 - 07/01/2024 04:30","Ireland (IE)","3296.27","3644.00"
"07/01/2024 04:30 - 07/01/2024 05:00","Ireland (IE)","3258.50","3612.00"
"07/01/2024 05:00 - 07/01/2024 05:30","Ireland (IE)","3270.14","3589.00"
"07/01/2024 05:30 - 07/01/2024 06:00","Ireland (IE)","3296.41","3566.00"
"07/01/2024 06:00 - 07/01/2024 06:30","Ireland (IE)","3264.45","3589.00"
"07/01/2024 06:30 - 07/01/2024 07:00","Ireland (IE)","3194.93","3611.00"
"07/01/2024 07:00 - 07/01/2024 07:30","Ireland (IE)","3231.00","3656.00"
